start,end,distance,speed limit
26059311,3256115046,53.141,50.0
26059311,4429332928,11.548,46.4
26059311,4419128653,14.588,50.0
26059312,3256115020,33.469,50.0
26059312,420547128,52.411,50.0
26059312,1941921951,44.468,46.4
26059315,2518952144,119.393,46.4
26059315,420547124,59.134,50.0
26059315,2518952154,42.673,50.0
26059321,3140024948,4.722,50.0
26059321,2820814277,18.394,50.0
26059325,2693780962,24.464,50.0
26059325,419028629,36.545,50.0
26059326,3255215314,11.866,46.4
26059326,3255215315,16.034,50.0
26059326,2990317175,69.135,50.0
26059332,4435212910,42.455,59.3
26059332,2296955359,102.89,50.0
26059332,1943828794,17.678,50.0
26059337,1729202430,49.297,59.3
26059337,1987108036,20.908,59.3
26059340,26059341,75.059,59.3
26059340,1987108040,30.733,59.3
26059341,4429283007,19.469,59.3
26059341,26059340,75.059,59.3
26059342,4429283015,22.421,59.3
26059342,1729202458,16.852,59.3
26059343,4429283017,10.925,59.3
26059343,4429283015,12.943,59.3
26059344,1987108048,17.084,59.3
26059344,4429283017,6.9,59.3
26059347,26059348,54.037,59.3
26059347,4429283009,11.728,59.3
26059348,4458466493,21.602,59.3
26059348,26059347,54.037,59.3
26059349,1987108010,34.795,59.3
26059349,4429283005,10.557,59.3
26059353,1729202454,25.959,59.3
26059353,1729202431,33.186,59.3
26059354,26059355,25.759,59.3
26059354,1729202462,24.244,59.3
26059355,1729202448,17.618,59.3
26059355,26059354,25.759,59.3
26059357,1729202418,39.623,59.3
26059357,1729202429,24.453,59.3
26059358,26059359,19.085,59.3
26059358,4429283011,17.421,59.3
26059359,1987108049,8.004,59.3
26059359,26059358,19.085,59.3
26059361,6315375943,26.781,59.3
26059361,6315375938,18.928,59.3
26059362,6315375926,38.812,59.3
26059362,6315375928,40.297,59.3
26059363,1987108061,40.722,59.3
26059363,6315375926,32.976,59.3
26059364,60076972,64.783,46.4
26059364,6315375925,40.029,46.4
26059364,1307159488,173.489,59.3
26059367,3357222518,11.307,49.3
26059367,1987108056,26.316,49.3
26059367,6315375950,74.223,46.4
26059368,1307159451,38.378,49.3
26059369,4413436676,21.803,49.3
26059375,26059376,37.173,46.4
26059375,6273863585,20.698,46.4
26059375,1076646244,39.466,59.3
26059375,1076646324,120.425,59.3
26059376,7287615682,6.558,46.4
26059376,26059375,37.173,46.4
26059376,1120362810,118.625,59.3
26059491,311784014,10.422,59.3
26059491,313164126,172.443,50.0
26069746,6253591705,11.261,49.3
26069746,3345131982,30.919,49.3
26069751,2534921873,40.882,46.4
26069751,26069982,108.073,49.3
26069751,3335321895,35.161,46.4
26069751,5184055232,30.902,49.3
26069761,1676908272,53.412,50.0
26069766,1676886481,76.521,90.0
26069766,3304121487,128.255,78.6
26069767,26069768,26.131,90.0
26069768,1151731676,51.47,90.0
26069769,60072874,189.825,90.0
26069770,4429437211,26.012,90.0
26069770,4498776281,22.534,90.0
26069793,4413559935,31.603,90.0
26069794,26069795,52.132,90.0
26069794,1151731634,47.559,90.0
26069795,2612147338,23.884,90.0
26069796,2612147335,25.318,90.0
26069797,4413547954,20.033,90.0
26069798,1151731183,54.228,50.0
26069800,4413547927,35.709,50.0
26069801,4413547926,55.274,50.0
26069808,1553541466,20.687,59.3
26069808,4419503578,35.242,50.0
26069809,321706146,28.385,50.0
26069810,1076646369,70.347,49.3
26069810,1726063077,17.365,49.3
26069810,1737223432,297.471,50.0
26069821,318918107,42.819,49.3
26069822,318918114,48.33,49.3
26069823,1120363103,19.476,49.3
26069824,26069825,27.541,49.3
26069825,26069826,46.357,49.3
26069826,318918118,69.606,49.3
26069837,1859239348,15.695,46.4
26069837,1859239366,8.725,59.3
26069842,1099409292,111.445,59.3
26069842,1859239303,43.492,59.3
26069842,26069843,38.409,59.3
26069842,1482272896,134.495,59.3
26069843,1099409305,41.327,59.3
26069843,26069842,38.409,59.3
26069843,1482272898,19.753,59.3
26069847,26069848,40.598,46.4
26069847,1987033383,37.447,59.3
26069847,4355285623,71.198,59.3
26069848,26069847,40.598,46.4
26069848,26069849,89.909,46.4
26069848,1120362686,43.101,46.4
26069849,26069848,89.909,46.4
26069849,1482253551,37.676,46.4
26069860,1726063066,24.935,50.0
26069860,2903311409,56.228,50.0
26069864,1726059979,109.953,50.0
26069864,665074285,139.857,46.4
26069872,321706138,11.376,49.3
26069872,2348039030,8.57,49.3
26069872,2348039031,96.575,50.0
26069885,26069907,47.949,46.4
26069885,311783999,11.474,46.4
26069885,5322031945,84.293,50.0
26069890,26069907,48.246,46.4
26069890,4421568678,33.826,50.0
26069890,26069905,37.066,50.0
26069890,4397445657,19.34,46.4
26069904,4445994207,84.911,46.4
26069904,1755241804,81.673,50.0
26069904,2626385834,35.145,50.0
26069905,2633675337,126.287,50.0
26069905,26069890,37.066,50.0
26069905,2626385834,9.721,50.0
26069907,26069890,48.246,46.4
26069907,26069885,47.949,46.4
26069924,26069928,146.879,50.0
26069924,388545531,10.302,49.3
26069924,1307159377,119.805,49.3
26069928,1526281954,73.747,50.0
26069936,4419142213,74.885,50.0
26069943,4419149608,12.741,50.0
26069943,2500758982,18.289,59.3
26069944,4419149615,71.809,50.0
26069962,3357200327,148.822,50.0
26069969,1099409341,102.525,50.0
26069971,4413395075,279.256,50.0
26069971,1974739977,9.733,49.3
26069971,2135785102,10.839,49.3
26069976,4398463921,62.792,59.3
26069976,2383000573,21.957,49.3
26069976,2383000569,6.412,49.3
26069982,4872043762,25.908,46.4
26069982,26069751,108.073,49.3
26069982,1156735395,50.982,49.3
26069984,2534921866,39.496,46.4
26069984,1307159341,51.915,50.0
26069984,1122468021,165.486,46.4
26069984,4419114783,34.351,46.4
26069992,1079387357,14.751,46.4
26069992,2534921841,57.118,46.4
26069992,3752866857,42.777,50.0
26070017,4419499759,18.417,50.0
26070019,2384319108,24.416,46.4
26070019,1151193767,15.242,49.3
26070019,4413427361,28.232,50.0
26070025,1974739919,69.455,50.0
26070025,1151193803,12.444,46.4
26070025,1974739935,72.738,46.4
59840888,4413559962,36.334,100.0
59840890,311080350,156.227,100.0
59840891,4413563985,146.836,100.0
59840892,4419495122,62.321,100.0
59840893,59840894,254.677,100.0
59840894,382954328,204.556,100.0
59840896,59840897,140.216,100.0
59840897,1983162830,116.833,100.0
59840898,1714279114,43.801,100.0
59840899,1983162815,198.875,100.0
59841230,4413559956,57.827,100.0
59841232,314947109,74.567,100.0
59841233,4413563984,241.023,100.0
59841234,4419495114,142.284,100.0
59841235,59841234,257.994,100.0
59841238,318296063,148.168,100.0
59841239,1978206256,123.628,100.0
59841240,1978206222,37.038,100.0
59841241,1978206211,62.848,100.0
59841243,1978206178,72.425,59.3
59841243,1978206187,278.251,100.0
60072874,315310576,237.712,90.0
60075259,6273863583,13.61,46.4
60075259,4421497236,19.568,59.3
60075259,3357222510,27.349,46.4
60076963,4074634400,31.987,50.0
60076963,1731945841,34.818,50.0
60076964,4027946653,26.953,50.0
60076964,3063460625,11.04,50.0
60076966,4413447856,12.195,50.0
60076966,3114944515,12.153,50.0
60076967,3256266055,12.563,50.0
60076967,4429332950,14.068,50.0
60076971,2857971032,32.905,59.3
60076972,26059364,64.783,46.4
60076972,6315375952,47.692,46.4
60076973,1307159285,40.699,46.4
60076973,1307159494,93.084,49.3
60076973,1307159412,38.012,49.3
60076974,4429514504,107.247,50.0
60076976,426882130,46.913,50.0
156154282,322800788,124.814,50.0
311080350,311080351,199.343,59.3
311080350,59840891,124.537,100.0
311080351,4413563986,63.25,59.3
311080353,311080354,61.114,59.3
311080354,4419495119,47.262,59.3
311080355,4419495110,36.249,59.3
311080356,1983162859,155.521,59.3
311080356,1983162862,52.761,59.3
311080357,311080358,69.175,59.3
311080358,1983162858,23.489,59.3
311080358,1726059990,28.656,59.3
311080359,311080360,22.689,59.3
311080359,2270233766,11.513,59.3
311080360,311080361,12.037,59.3
311080361,311080364,10.726,59.3
311080364,311080365,10.615,59.3
311080365,311080367,17.534,59.3
311080367,311080375,13.978,46.4
311080367,1726059992,21.226,50.0
311080368,313164190,146.692,59.3
311080369,311080356,129.905,59.3
311080375,311080367,13.978,46.4
311080375,2272116588,9.542,46.4
311080375,7224393868,12.497,50.0
311080380,2271410307,37.477,46.4
311080380,7224393857,4.771,46.4
311080380,2272116576,21.258,46.4
311080382,1513884389,38.13,46.4
311080382,2271410308,78.959,46.4
